	conditionID	data_rep	fit_rep	loglik	lmax	ncat	ntips	nOGs	cpy_change_rates	cpy_root_probs	cat_switch_rates	cat_root_probs
53	cond06	4	5	-57469.113162400536	2	3	128	1000	0.08986364143343839	0.3265960069403892	2.3070822043992596	0.1360094224670037
54	cond06	5	3	-46702.738132353494	2	3	128	1000	0.08098271106229403	0.17452732181365524	0.9570829957238313	0.056828998785974694
55	cond06	6	10	-49239.15119046754	2	3	128	1000	0.08077789507506325	0.11250784378995894	3.1568601918616106	0.019879976295670454
56	cond06	7	3	-45844.157498463486	2	3	128	1000	0.05627433818925879	0.05084809266243723	0.9901837901909313	0.11051089917447282
57	cond06	8	7	-51319.43899635908	2	3	128	1000	0.1885916235078636	0.32475687403961806	1.4433398782246292	0.35222550962044313
58	cond06	9	1	-48036.84075710654	2	3	128	1000	0.08692472382876659	0.0978387426348032	0.8739259472484945	0.04293201597200247
59	cond06	10	7	-47519.03680022451	2	3	128	1000	0.05135285387702431	0.07691451238291476	0.41225756667872243	0.02076449921243534
60	cond07	1	1	-102554.63272675753	2	3	128	2000	0.04952615897768654	0.12715725739118908	0.9607374437945525	0.13014492703399316
61	cond07	2	6	-98945.48679638645	2	3	128	2000	0.04665966451461418	0.05326692829319462	0.6894636421436925	0.011755677352194571
62	cond07	3	5	-80018.36278750518	2	3	128	2000	0.049704154236057806	0.06262963096889733	0.7503159794733268	0.04582333266971922
63	cond07	4	6	-93468.2951406136	2	3	128	2000	0.04788541798989227	0.019142542826933142	0.3954096339369013	0.02479043288936983
64	cond07	5	10	-89523.15259279482	2	3	128	2000	0.04482630382568042	0.04741283987576641	0.44491957963146006	0.03066986589973253
65	cond07	6	2	-115976.33649041003	2	3	128	2000	0.018289374046234957	0.03621355497219033	0.6413265551316011	0.0032464766176882875
66	cond07	7	5	-91380.35315349308	2	3	128	2000	0.20033342239037746	0.2672778917540442	0.8041575740346426	0.3194639323846595
67	cond07	8	4	-102904.01386595043	2	3	128	2000	0.04072156473026541	0.021769788996072913	0.6495182300963223	0.008602954541225338
68	cond07	9	6	-116953.6274664592	2	3	128	2000	0.040554202894802605	0.04293181200572934	0.4392190710465635	0.018254321010322094
69	cond07	10	7	-96529.88009498276	2	3	128	2000	0.05699895151641743	0.20924174384781358	1.5323681071832496	0.037835546447040236
70	cond08	1	5	-406839.90650424897	2	3	128	8000	0.025132189707205505	0.035273253878589254	0.31596959094591254	0.03503101297819822
71	cond08	2	7	-369439.12051874946	2	3	128	8000	0.029086718586772742	0.025803280046425108	0.4225508062410522	0.019809872948842233
72	cond08	3	2	-419007.15675600595	2	3	128	8000	0.017686166171447203	0.03180503229343821	0.5668390915803881	0.023992766267282306
73	cond08	4	9	-333152.9473776629	2	3	128	8000	0.01674608986388233	0.042250903952602725	0.3526363525702991	0.013809372591093494
74	cond08	5	8	-301898.8514133477	2	3	128	8000	0.02692503680506722	0.014821729212206017	0.3614213994650237	0.01380102330337829
75	cond08	6	9	-399824.848203334	2	3	128	8000	0.025944923189281505	0.014037507945577723	0.2888300315781027	0.005237243092279742
76	cond08	7	8	-447396.3203248541	2	3	128	8000	0.012715214582203205	0.03742041577691182	0.18476773035650007	0.010199625764826442
77	cond08	8	4	-424916.0664313034	2	3	128	8000	0.015166855674220955	0.022438469065000483	0.4361647351436275	0.00856197616899218
78	cond08	9	9	-420413.6807446427	2	3	128	8000	0.022252471876230806	0.01972040715827683	0.33086200280734585	0.017618851457824325
79	cond08	10	9	-402525.1128027634	2	3	128	8000	0.013890098960388416	0.02633808908119088	0.3356034279907667	0.01590128882854258
80	cond09	1	5	-962212.0579844544	2	3	128	16000	0.020274581544740378	0.01580398926813004	0.43488137891952866	0.004759632650414736
81	cond09	2	5	-843337.517001441	2	3	128	16000	0.012220113638410015	0.024111970077618117	0.3968896373815019	0.013965241991423516
82	cond09	3	2	-761705.4341606477	2	3	128	16000	0.01163554297726451	0.017353336677439	0.23972506108929678	0.0009936410322175515
